Participant Flow,"Display: Project,Subsection, Pose, Description, Light",Higyhlight means Not being captured in Phase 2,,,,,,,,,,,
Index,Project,Sub section,task no,Pose,description Displayed to operator,Light?,test,Unit/type/file,Add. Notes,,,,
65,Size,ASIN C,GCV01,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
66,Size,ASIN C,GCS02,I-pose,Front ,Studio,,Athena Image,,,,,
67,Size,ASIN C,GCS02,I-pose,Side ,Studio,,Athena Image,,,,,
68,Size,ASIN C,GCS02,Fashion pose 1,Front,Studio,,Athena Image,,,,,
69,Size,ASIN C,GCS02,Fashion pose 2,Front,Studio,,Athena Image,,,,,
70,Size,ASIN C,GCV02,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
71,Size,ASIN C,GCS03,I-pose,Front ,Studio,,Athena Image,,,,,
72,Size,ASIN C,GCS03,I-pose,Side ,Studio,,Athena Image,,,,,
73,Size,ASIN C,GCS03,Fashion pose 1,Front,Studio,,Athena Image,,,,,
74,Size,ASIN C,GCS03,Fashion pose 2,Front,Studio,,Athena Image,,,,,
75,Size,ASIN C,GCV03,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
76,Head/Face,Clean,H01,Selfie image,Front Neutral,Ring; Front ,,Athena Selfie image,,,,,
77,Head/Face,Clean,H02,Selfie image,Left Neutral,Ring; Front ,,Athena Selfie image,,,,,
78,Head/Face,Clean,H03,Selfie image,Right Neutral,Ring; Front ,,Athena Selfie image,,,,,
79,Head/Face,Clean,H04,Selfie image,Up Neutral,Ring; Front ,,Athena Selfie image,,,,,
80,Head/Face,Clean,H05,Selfie image,Camera 30 above - confirmed just one photo; neutral camera at 30 degrees above head,Ring; Front ,,Athena Selfie image,Face normal to camera ,,,,
81,Head/Face,Clean,H06,Selfie image,Front Smile,Ring; Front ,,Athena Selfie image,,,,,
82,Head/Face,Clean,H07,Selfie image,Left Smile,Ring; Front ,,Athena Selfie image,,,,,
83,Head/Face,Clean,H08,Selfie image,Right Smile,Ring; Front ,,Athena Selfie image,,,,,
84,Head/Face,Clean,H09,Selfie image,Up Smile,Ring; Front ,,Athena Selfie image,,,,,
85,Head/Face,Clean,H10,Selfie Video,Neutral Front; Left; Right; Up. Ring light front,Ring; Front ,,Athena Selfie Video,,,,,
86,Head/Face,Clean,H11,Selfie Video,Smile Front; Left; Right; Up. Ring light front,Ring; Front ,,Athena Selfie Video,,,,,
87,Head/Face,Clean,H12,Selfie image,Front Neutral; Ring light left,Ring; Left,,Athena Image,,,,,
88,Head/Face,Clean,H13,Selfie image,Left Neutral,Ring; Left,,Athena Image,,,,,
89,Head/Face,Clean,H14,Selfie image,Right Neutral,Ring; Left,,Athena Image,,,,,
90,Head/Face,Clean,H15,Selfie image,Up Neutral,Ring; Left,,Athena Image,,,,,
91,Head/Face,Clean,H16,Selfie image,Front Smile,Ring; Left,,Athena Image,,,,,
92,Head/Face,Clean,H17,Selfie image,Left Smile,Ring; Left,,Athena Image,,,,,
93,Head/Face,Clean,H18,Selfie image,Right Smile,Ring; Left,,Athena Image,,,,,
94,Head/Face,Clean,H19,Selfie image,Up Smile,Ring; Left,,Athena Image,,,,,
95,Head/Face,Clean,H20,Face Image,Front Neutral; Ring light left,Ring; Left,,Athena Image,,,,,
96,Head/Face,Clean,H21,Face Image,Left Neutral,Ring; Left,,Athena Image,,,,,
97,Head/Face,Clean,H22,Face Image,Right Neutral,Ring; Left,,Athena Image,,,,,
98,Head/Face,Clean,H23,Face Image,Up Neutral,Ring; Left,,Athena Image,,,,,
99,Head/Face,Clean,H24,Face Image,Front Smile,Ring; Left,,Athena Image,,,,,
100,Head/Face,Clean,H25,Face Image,Left Smile,Ring; Left,,Athena Image,,,,,
101,Head/Face,Clean,H26,Face Image,Right Smile,Ring; Left,,Athena Image,,,,,
102,Head/Face,Clean,H27,Face Image,Up Smile,Ring; Left,,Athena Image,,,,,
103,Head/Face,Dirty,H28,Selfie image,Front Neutral; Ring light left,Ring; Left,,Athena Selfie image,,,,,
104,Head/Face,Dirty,H29,Selfie image,Left Neutral,Ring; Left,,Athena Selfie image,,,,,
105,Head/Face,Dirty,H30,Selfie image,Right Neutral,Ring; Left,,Athena Selfie image,,,,,
106,Head/Face,Dirty,H31,Selfie image,Up Neutral,Ring; Left,,Athena Selfie image,,,,,
107,Head/Face,Dirty,H32,Selfie image,Front Smile,Ring; Left,,Athena Selfie image,,,,,
108,Head/Face,Dirty,H33,Selfie image,Left Smile,Ring; Left,,Athena Selfie image,,,,,
109,Head/Face,Dirty,H34,Selfie image,Right Smile,Ring; Left,,Athena Selfie image,,,,,
110,Head/Face,Dirty,H35,Selfie image,Up Smile,Ring; Left,,Athena Selfie image,,,,,
111,Head/Face,Dirty,H36,Selfie image,Front Neutral,Ring; Front,,Athena Selfie image,,,,,
112,Head/Face,Dirty,H37,Selfie image,Left Neutral,Ring; Front,,Athena Selfie image,,,,,
113,Head/Face,Dirty,H38,Selfie image,Right Neutral,Ring; Front,,Athena Selfie image,,,,,
114,Head/Face,Dirty,H39,Selfie image,Up Neutral,Ring; Front,,Athena Selfie image,,,,,
115,Head/Face,Dirty,H40,Selfie image,Front Smile,Ring; Front,,Athena Selfie image,,,,,
116,Head/Face,Dirty,H41,Selfie image,Left Smile,Ring; Front,,Athena Selfie image,,,,,
117,Head/Face,Dirty,H42,Selfie image,Right Smile,Ring; Front,,Athena Selfie image,,,,,
118,Head/Face,Dirty,H43,Selfie image,Up Smile,Ring; Front,,Athena Selfie image,,,,,
119,Head/Face,Dirty,H44,Selfie Video,Neutral Front; Left; Right; Up.,Ring; Front,,Athena Selfie Video,,,,,
120,Head/Face,Dirty,H45,Selfie Video,Smile Front; Left; Right; Up.,Ring; Front,,Athena Selfie Video,,,,,
121,Head/Face,Dirty,H46,Face Image,Front Neutral ,Ring; Front,,Athena Image,,,,,
122,Head/Face,Dirty,H47,Face Image,Left Neutral,Ring; Front,,Athena Image,,,,,
123,Head/Face,Dirty,H48,Face Image,Right Neutral,Ring; Front,,Athena Image,,,,,
124,Head/Face,Dirty,H49,Face Image,Up Neutral,Ring; Front,,Athena Image,,,,,
125,Head/Face,Dirty,H50,Face Image,Front Smile,Ring; Front,,Athena Image,,,,,
126,Head/Face,Dirty,H51,Face Image,Left Smile,Ring; Front,,Athena Image,,,,,
127,Head/Face,Dirty,H52,Face Image,Right Smile,Ring; Front,,Athena Image,,,,,
128,Head/Face,Dirty,H53,Face Image,Up Smile,Ring; Front,,Athena Image,,,,,
129,Garment,T-shirt,TS01,A-pose,Front,Studio,,Athena Image,,,,,
130,Garment,T-shirt,TS01,A-pose,Back,Studio,,Athena Image,,,,,
131,Garment,T-shirt,TS02,A-pose,Front,Studio,,Athena Image,,,,,
132,Garment,T-shirt,TS02,A-pose,Back,Studio,,Athena Image,,,,,
133,Garment,T-shirt,TS03,A-pose,Front,Studio,,Athena Image,,,,,
134,Garment,T-shirt,TS03,A-pose,Back,Studio,,Athena Image,,,,,
135,Garment,T-shirt,TS04,A-pose,Front,Studio,,Athena Image,,,,,
136,Garment,T-shirt,TS04,A-pose,Back,Studio,,Athena Image,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
